source,driving
Adjectives_Deaf_Deaf_010,Adjectives_Deaf_Deaf_010
Adjectives_Deaf_Deaf_011,Adjectives_Deaf_Deaf_011
Adjectives_Deaf_Deaf_012,Adjectives_Deaf_Deaf_012
Adjectives_Deaf_Deaf_013,Adjectives_Deaf_Deaf_013
Adjectives_Deaf_Deaf_014,Adjectives_Deaf_Deaf_014
Adjectives_Deaf_Deaf_015,Adjectives_Deaf_Deaf_015
Adjectives_Deaf_Deaf_016,Adjectives_Deaf_Deaf_016
Adjectives_Deaf_Deaf_017,Adjectives_Deaf_Deaf_017
Adjectives_Deaf_Deaf_018,Adjectives_Deaf_Deaf_018
Adjectives_Deaf_Deaf_019,Adjectives_Deaf_Deaf_019
Adjectives_Deep_Deep_001,Adjectives_Deep_Deep_001
Adjectives_Deep_Deep_002,Adjectives_Deep_Deep_002
Adjectives_Deep_Deep_003,Adjectives_Deep_Deep_003
Adjectives_Deep_Deep_004,Adjectives_Deep_Deep_004
Adjectives_Deep_Deep_005,Adjectives_Deep_Deep_005
Adjectives_Deep_Deep_006,Adjectives_Deep_Deep_006
Adjectives_Deep_Deep_007,Adjectives_Deep_Deep_007
Adjectives_Deep_Deep_008,Adjectives_Deep_Deep_008
Adjectives_Deep_Deep_009,Adjectives_Deep_Deep_009
Adjectives_Deep_Deep_010,Adjectives_Deep_Deep_010
Adjectives_Deep_Deep_011,Adjectives_Deep_Deep_011
Adjectives_Deep_Deep_012,Adjectives_Deep_Deep_012
Adjectives_Deep_Deep_013,Adjectives_Deep_Deep_013
Adjectives_Deep_Deep_014,Adjectives_Deep_Deep_014
Adjectives_Deep_Deep_015,Adjectives_Deep_Deep_015
Adjectives_Deep_Deep_016,Adjectives_Deep_Deep_016
Adjectives_Deep_Deep_017,Adjectives_Deep_Deep_017
Adjectives_Different_Different_001,Adjectives_Different_Different_001
Adjectives_Different_Different_002,Adjectives_Different_Different_002
Adjectives_Different_Different_003,Adjectives_Different_Different_003
Adjectives_Different_Different_004,Adjectives_Different_Different_004
Adjectives_Different_Different_005,Adjectives_Different_Different_005
Adjectives_Different_Different_006,Adjectives_Different_Different_006
Adjectives_Different_Different_007,Adjectives_Different_Different_007
Adjectives_Different_Different_008,Adjectives_Different_Different_008
Adjectives_Different_Different_009,Adjectives_Different_Different_009
Adjectives_Different_Different_010,Adjectives_Different_Different_010
Adjectives_Difficult_Difficult_001,Adjectives_Difficult_Difficult_001
Adjectives_Difficult_Difficult_002,Adjectives_Difficult_Difficult_002
Adjectives_Double_Double_001,Adjectives_Double_Double_001
Adjectives_Double_Double_002,Adjectives_Double_Double_002
Adjectives_Double_Double_003,Adjectives_Double_Double_003
Adjectives_Double_Double_004,Adjectives_Double_Double_004
Adjectives_Double_Double_005,Adjectives_Double_Double_005
Adjectives_Double_Double_006,Adjectives_Double_Double_006
Adjectives_Fast_Fast_001,Adjectives_Fast_Fast_001
Adjectives_Fast_Fast_002,Adjectives_Fast_Fast_002
Adjectives_Fast_Fast_003,Adjectives_Fast_Fast_003
Adjectives_Fast_Fast_004,Adjectives_Fast_Fast_004
Adjectives_Fast_Fast_005,Adjectives_Fast_Fast_005
Adjectives_Fast_Fast_006,Adjectives_Fast_Fast_006
Adjectives_Fast_Fast_007,Adjectives_Fast_Fast_007
Adjectives_Fast_Fast_008,Adjectives_Fast_Fast_008
Adjectives_Fast_Fast_009,Adjectives_Fast_Fast_009
Adjectives_Fast_Fast_010,Adjectives_Fast_Fast_010
Adjectives_Fast_Fast_011,Adjectives_Fast_Fast_011
Adjectives_Fast_Fast_012,Adjectives_Fast_Fast_012
Adjectives_Fast_Fast_013,Adjectives_Fast_Fast_013
Adjectives_Fast_Fast_014,Adjectives_Fast_Fast_014
Adjectives_Fast_Fast_015,Adjectives_Fast_Fast_015
Adjectives_Fast_Fast_016,Adjectives_Fast_Fast_016
Adjectives_Fast_Fast_017,Adjectives_Fast_Fast_017
Adjectives_Fast_Fast_018,Adjectives_Fast_Fast_018
Adjectives_Fast_Fast_019,Adjectives_Fast_Fast_019
Adjectives_Fast_Fast_020,Adjectives_Fast_Fast_020
Adjectives_Fast_Fast_021,Adjectives_Fast_Fast_021
Adjectives_Fat_Fat_001,Adjectives_Fat_Fat_001
Adjectives_Fat_Fat_002,Adjectives_Fat_Fat_002
Adjectives_Fat_Fat_003,Adjectives_Fat_Fat_003
Adjectives_Fat_Fat_004,Adjectives_Fat_Fat_004
Adjectives_Fat_Fat_005,Adjectives_Fat_Fat_005
Adjectives_Fat_Fat_006,Adjectives_Fat_Fat_006
Adjectives_Fat_Fat_007,Adjectives_Fat_Fat_007
Adjectives_Fat_Fat_008,Adjectives_Fat_Fat_008
Adjectives_Fat_Fat_009,Adjectives_Fat_Fat_009
Adjectives_Fat_Fat_010,Adjectives_Fat_Fat_010
Adjectives_Free_Free_001,Adjectives_Free_Free_001
Adjectives_Free_Free_002,Adjectives_Free_Free_002
Adjectives_Free_Free_003,Adjectives_Free_Free_003
Adjectives_Free_Free_004,Adjectives_Free_Free_004
Adjectives_Full_Full_001,Adjectives_Full_Full_001
Adjectives_Full_Full_002,Adjectives_Full_Full_002
Adjectives_Full_Full_003,Adjectives_Full_Full_003
Adjectives_Full_Full_004,Adjectives_Full_Full_004
Adjectives_Full_Full_005,Adjectives_Full_Full_005
Adjectives_Full_Full_006,Adjectives_Full_Full_006
Adjectives_Full_Full_007,Adjectives_Full_Full_007
Adjectives_Full_Full_008,Adjectives_Full_Full_008
Adjectives_Full_Full_009,Adjectives_Full_Full_009
Adjectives_Full_Full_010,Adjectives_Full_Full_010
Adjectives_Full_Full_011,Adjectives_Full_Full_011
Adjectives_Full_Full_012,Adjectives_Full_Full_012
Adjectives_Good_Good_001,Adjectives_Good_Good_001
Adjectives_Good_Good_002,Adjectives_Good_Good_002
Adjectives_Good_Good_003,Adjectives_Good_Good_003
Adjectives_Good_Good_004,Adjectives_Good_Good_004
Adjectives_Good_Good_005,Adjectives_Good_Good_005
Adjectives_Good_Good_006,Adjectives_Good_Good_006
Adjectives_Good_Good_007,Adjectives_Good_Good_007
Adjectives_Good_Good_008,Adjectives_Good_Good_008
Adjectives_Good_Good_009,Adjectives_Good_Good_009
Adjectives_Good_Good_010,Adjectives_Good_Good_010
Adjectives_Good_Good_011,Adjectives_Good_Good_011
Adjectives_Good_Good_012,Adjectives_Good_Good_012
Adjectives_Good_Good_013,Adjectives_Good_Good_013
Adjectives_Good_Good_014,Adjectives_Good_Good_014
Adjectives_Good_Good_015,Adjectives_Good_Good_015
Adjectives_Good_Good_016,Adjectives_Good_Good_016
Adjectives_Good_Good_017,Adjectives_Good_Good_017
Adjectives_Good_Good_018,Adjectives_Good_Good_018
Adjectives_Good_Good_019,Adjectives_Good_Good_019
Adjectives_Good_Good_020,Adjectives_Good_Good_020
Adjectives_Good_Good_021,Adjectives_Good_Good_021
Adjectives_Good_Good_022,Adjectives_Good_Good_022
Adjectives_Good_Good_023,Adjectives_Good_Good_023
Adjectives_Good_Good_024,Adjectives_Good_Good_024
Adjectives_Good_Good_025,Adjectives_Good_Good_025
Adjectives_Good_Good_026,Adjectives_Good_Good_026
Adjectives_Good_Good_027,Adjectives_Good_Good_027
Adjectives_Good_Good_028,Adjectives_Good_Good_028
Adjectives_Good_Good_029,Adjectives_Good_Good_029
Adjectives_Good_Good_030,Adjectives_Good_Good_030
Adjectives_Good_Good_031,Adjectives_Good_Good_031
Adjectives_Good_Good_032,Adjectives_Good_Good_032
Adjectives_Good_Good_033,Adjectives_Good_Good_033
Adjectives_Good_Good_034,Adjectives_Good_Good_034
Adjectives_Good_Good_035,Adjectives_Good_Good_035
Adjectives_Good_Good_036,Adjectives_Good_Good_036
Adjectives_Good_Good_037,Adjectives_Good_Good_037
Adjectives_Good_Good_038,Adjectives_Good_Good_038
Adjectives_Good_Good_039,Adjectives_Good_Good_039
Adjectives_Good_Good_040,Adjectives_Good_Good_040
Adjectives_Good_Good_041,Adjectives_Good_Good_041
Adjectives_Good_Good_042,Adjectives_Good_Good_042
Adjectives_Good_Good_043,Adjectives_Good_Good_043
Adjectives_Good_Good_044,Adjectives_Good_Good_044
Adjectives_Good_Good_045,Adjectives_Good_Good_045
Adjectives_Good_Good_046,Adjectives_Good_Good_046
Adjectives_Good_Good_047,Adjectives_Good_Good_047
Adjectives_Good_Good_048,Adjectives_Good_Good_048
Adjectives_Good_Good_049,Adjectives_Good_Good_049
Adjectives_Good_Good_050,Adjectives_Good_Good_050
Adjectives_Good_Good_051,Adjectives_Good_Good_051
Adjectives_Good_Good_052,Adjectives_Good_Good_052
Adjectives_Good_Good_053,Adjectives_Good_Good_053
Adjectives_Good_Good_054,Adjectives_Good_Good_054
Adjectives_Good_Good_055,Adjectives_Good_Good_055
Adjectives_Good_Good_056,Adjectives_Good_Good_056
Adjectives_Good_Good_057,Adjectives_Good_Good_057
Adjectives_Good_Good_058,Adjectives_Good_Good_058
Adjectives_Good_Good_059,Adjectives_Good_Good_059
Adjectives_Good_Good_060,Adjectives_Good_Good_060
Adjectives_Good_Good_061,Adjectives_Good_Good_061
Adjectives_Good_Good_062,Adjectives_Good_Good_062
Adjectives_Good_Good_063,Adjectives_Good_Good_063
Adjectives_Good_Good_064,Adjectives_Good_Good_064
Adjectives_Good_Good_065,Adjectives_Good_Good_065
Adjectives_Good_Good_066,Adjectives_Good_Good_066
Adjectives_Good_Good_067,Adjectives_Good_Good_067
Adjectives_Happy_Happy_001,Adjectives_Happy_Happy_001
Adjectives_Happy_Happy_002,Adjectives_Happy_Happy_002
Adjectives_Happy_Happy_003,Adjectives_Happy_Happy_003
Adjectives_Happy_Happy_004,Adjectives_Happy_Happy_004
Adjectives_Happy_Happy_005,Adjectives_Happy_Happy_005
Adjectives_Happy_Happy_006,Adjectives_Happy_Happy_006
Adjectives_Happy_Happy_007,Adjectives_Happy_Happy_007
Adjectives_Happy_Happy_008,Adjectives_Happy_Happy_008
Adjectives_Hard_Hard_001,Adjectives_Hard_Hard_001
Adjectives_Hard_Hard_002,Adjectives_Hard_Hard_002
Adjectives_Hard_Hard_003,Adjectives_Hard_Hard_003
Adjectives_Hard_Hard_004,Adjectives_Hard_Hard_004
Adjectives_Hard_Hard_005,Adjectives_Hard_Hard_005
Adjectives_Hard_Hard_006,Adjectives_Hard_Hard_006
Adjectives_Hard_Hard_007,Adjectives_Hard_Hard_007
Adjectives_Hard_Hard_008,Adjectives_Hard_Hard_008
Adjectives_Hard_Hard_009,Adjectives_Hard_Hard_009
Adjectives_Hard_Hard_010,Adjectives_Hard_Hard_010
Adjectives_Hard_Hard_011,Adjectives_Hard_Hard_011
Adjectives_Hard_Hard_012,Adjectives_Hard_Hard_012
Adjectives_Hard_Hard_013,Adjectives_Hard_Hard_013
Adjectives_Hard_Hard_014,Adjectives_Hard_Hard_014
Adjectives_Healthy_Healthy_001,Adjectives_Healthy_Healthy_001
Adjectives_Healthy_Healthy_002,Adjectives_Healthy_Healthy_002
Adjectives_Healthy_Healthy_003,Adjectives_Healthy_Healthy_003
Adjectives_Healthy_Healthy_004,Adjectives_Healthy_Healthy_004
Adjectives_Healthy_Healthy_005,Adjectives_Healthy_Healthy_005
Adjectives_Healthy_Healthy_006,Adjectives_Healthy_Healthy_006
Adjectives_Healthy_Healthy_007,Adjectives_Healthy_Healthy_007
Adjectives_Healthy_Healthy_008,Adjectives_Healthy_Healthy_008
Adjectives_Healthy_Healthy_009,Adjectives_Healthy_Healthy_009
Adjectives_Healthy_Healthy_010,Adjectives_Healthy_Healthy_010
Adjectives_Healthy_Healthy_011,Adjectives_Healthy_Healthy_011
Adjectives_Healthy_Healthy_012,Adjectives_Healthy_Healthy_012
Adjectives_Healthy_Healthy_013,Adjectives_Healthy_Healthy_013
Adjectives_Healthy_Healthy_014,Adjectives_Healthy_Healthy_014
Adjectives_Healthy_Healthy_015,Adjectives_Healthy_Healthy_015
Adjectives_Healthy_Healthy_016,Adjectives_Healthy_Healthy_016
Adjectives_Healthy_Healthy_017,Adjectives_Healthy_Healthy_017
Adjectives_Healthy_Healthy_018,Adjectives_Healthy_Healthy_018
Adjectives_Healthy_Healthy_019,Adjectives_Healthy_Healthy_019
Adjectives_Healthy_Healthy_020,Adjectives_Healthy_Healthy_020
Adjectives_Healthy_Healthy_021,Adjectives_Healthy_Healthy_021
Adjectives_High_High_001,Adjectives_High_High_001
Adjectives_High_High_002,Adjectives_High_High_002
Adjectives_High_High_003,Adjectives_High_High_003
Adjectives_High_High_004,Adjectives_High_High_004
Adjectives_High_High_005,Adjectives_High_High_005
Adjectives_High_High_006,Adjectives_High_High_006
Adjectives_High_High_007,Adjectives_High_High_007
Adjectives_High_High_008,Adjectives_High_High_008
Adjectives_Independent_Independent_001,Adjectives_Independent_Independent_001
Adjectives_Independent_Independent_002,Adjectives_Independent_Independent_002
Adjectives_Independent_Independent_003,Adjectives_Independent_Independent_003
Adjectives_Independent_Independent_004,Adjectives_Independent_Independent_004
Adjectives_Independent_Independent_005,Adjectives_Independent_Independent_005
Adjectives_Independent_Independent_006,Adjectives_Independent_Independent_006
Adjectives_Independent_Independent_007,Adjectives_Independent_Independent_007
Adjectives_Less_Less_001,Adjectives_Less_Less_001
Adjectives_Less_Less_002,Adjectives_Less_Less_002
Adjectives_Less_Less_003,Adjectives_Less_Less_003
Adjectives_Less_Less_004,Adjectives_Less_Less_004
Adjectives_Less_Less_005,Adjectives_Less_Less_005
Adjectives_Loose_Loose_001,Adjectives_Loose_Loose_001
Adjectives_Loose_Loose_002,Adjectives_Loose_Loose_002
Adjectives_Loose_Loose_003,Adjectives_Loose_Loose_003
Adjectives_Loose_Loose_004,Adjectives_Loose_Loose_004
Adjectives_Loose_Loose_005,Adjectives_Loose_Loose_005
Adjectives_Loose_Loose_006,Adjectives_Loose_Loose_006
Adjectives_Loose_Loose_007,Adjectives_Loose_Loose_007
Adjectives_Loose_Loose_008,Adjectives_Loose_Loose_008
Adjectives_Low_Low_001,Adjectives_Low_Low_001
Adjectives_Low_Low_002,Adjectives_Low_Low_002
Adjectives_Low_Low_003,Adjectives_Low_Low_003
Adjectives_Low_Low_004,Adjectives_Low_Low_004
Adjectives_Low_Low_005,Adjectives_Low_Low_005
Adjectives_Low_Low_006,Adjectives_Low_Low_006
Adjectives_Low_Low_007,Adjectives_Low_Low_007
Adjectives_Low_Low_008,Adjectives_Low_Low_008
Adjectives_Next_Next_001,Adjectives_Next_Next_001
Adjectives_Next_Next_002,Adjectives_Next_Next_002
Adjectives_Next_Next_003,Adjectives_Next_Next_003
Adjectives_Next_Next_004,Adjectives_Next_Next_004
Adjectives_Next_Next_005,Adjectives_Next_Next_005
Adjectives_Nice_Nice_001,Adjectives_Nice_Nice_001
Adjectives_Nice_Nice_002,Adjectives_Nice_Nice_002
Adjectives_Nice_Nice_003,Adjectives_Nice_Nice_003
Adjectives_Nice_Nice_004,Adjectives_Nice_Nice_004
Adjectives_Not_good_Not_good_001,Adjectives_Not_good_Not_good_001
Adjectives_Not_good_Not_good_002,Adjectives_Not_good_Not_good_002
Adjectives_Not_good_Not_good_003,Adjectives_Not_good_Not_good_003
Adjectives_Old_Old_001,Adjectives_Old_Old_001
Adjectives_Old_Old_002,Adjectives_Old_Old_002
Adjectives_Old_Old_003,Adjectives_Old_Old_003
Adjectives_Old_Old_004,Adjectives_Old_Old_004
Adjectives_Old_Old_005,Adjectives_Old_Old_005
Adjectives_Old_Old_006,Adjectives_Old_Old_006
Adjectives_Old_Old_007,Adjectives_Old_Old_007
Adjectives_Past_Past_001,Adjectives_Past_Past_001
Adjectives_Past_Past_002,Adjectives_Past_Past_002
Adjectives_Past_Past_003,Adjectives_Past_Past_003
Adjectives_Past_Past_004,Adjectives_Past_Past_004
Adjectives_Past_Past_005,Adjectives_Past_Past_005
Adjectives_Past_Past_006,Adjectives_Past_Past_006
Adjectives_Past_Past_007,Adjectives_Past_Past_007
Adjectives_Past_Past_008,Adjectives_Past_Past_008
Adjectives_Past_Past_009,Adjectives_Past_Past_009
Adjectives_Positive_Positive_001,Adjectives_Positive_Positive_001
Adjectives_Positive_Positive_002,Adjectives_Positive_Positive_002
Adjectives_Positive_Positive_003,Adjectives_Positive_Positive_003
Adjectives_Positive_Positive_004,Adjectives_Positive_Positive_004
Adjectives_Positive_Positive_005,Adjectives_Positive_Positive_005
Adjectives_Positive_Positive_006,Adjectives_Positive_Positive_006
Adjectives_Present_Present_001,Adjectives_Present_Present_001
Adjectives_Present_Present_002,Adjectives_Present_Present_002
Adjectives_Present_Present_003,Adjectives_Present_Present_003
Adjectives_Present_Present_004,Adjectives_Present_Present_004
Adjectives_Present_Present_005,Adjectives_Present_Present_005
Adjectives_Present_Present_006,Adjectives_Present_Present_006
Adjectives_Present_Present_007,Adjectives_Present_Present_007
Adjectives_Present_Present_008,Adjectives_Present_Present_008
Adjectives_Quick_Quick_001,Adjectives_Quick_Quick_001
Adjectives_Quick_Quick_002,Adjectives_Quick_Quick_002
Adjectives_Quick_Quick_003,Adjectives_Quick_Quick_003
Adjectives_Quick_Quick_004,Adjectives_Quick_Quick_004
Adjectives_Quick_Quick_005,Adjectives_Quick_Quick_005
Adjectives_Quick_Quick_006,Adjectives_Quick_Quick_006
Adjectives_Quick_Quick_007,Adjectives_Quick_Quick_007
Adjectives_Quick_Quick_008,Adjectives_Quick_Quick_008
Adjectives_Rich_Rich_001,Adjectives_Rich_Rich_001
Adjectives_Rich_Rich_002,Adjectives_Rich_Rich_002
Adjectives_Rich_Rich_003,Adjectives_Rich_Rich_003
Adjectives_Rich_Rich_004,Adjectives_Rich_Rich_004
Adjectives_Rich_Rich_005,Adjectives_Rich_Rich_005
Adjectives_Rich_Rich_006,Adjectives_Rich_Rich_006
Adjectives_Rich_Rich_007,Adjectives_Rich_Rich_007
Adjectives_Rich_Rich_008,Adjectives_Rich_Rich_008
Adjectives_Rich_Rich_009,Adjectives_Rich_Rich_009
Adjectives_Rich_Rich_010,Adjectives_Rich_Rich_010
Adjectives_Rich_Rich_011,Adjectives_Rich_Rich_011
Adjectives_Rich_Rich_012,Adjectives_Rich_Rich_012
Adjectives_Rich_Rich_013,Adjectives_Rich_Rich_013
Adjectives_Rich_Rich_014,Adjectives_Rich_Rich_014
Adjectives_Rich_Rich_015,Adjectives_Rich_Rich_015
Adjectives_Rich_Rich_016,Adjectives_Rich_Rich_016
Adjectives_Rich_Rich_017,Adjectives_Rich_Rich_017
Adjectives_Rich_Rich_018,Adjectives_Rich_Rich_018
Adjectives_Rich_Rich_019,Adjectives_Rich_Rich_019
Adjectives_Same_Same_001,Adjectives_Same_Same_001
Adjectives_Same_Same_002,Adjectives_Same_Same_002
Adjectives_Same_Same_003,Adjectives_Same_Same_003
Adjectives_Same_Same_004,Adjectives_Same_Same_004
Adjectives_Same_Same_005,Adjectives_Same_Same_005
Adjectives_Same_Same_006,Adjectives_Same_Same_006
Adjectives_Same_Same_007,Adjectives_Same_Same_007
Adjectives_Same_Same_008,Adjectives_Same_Same_008
Adjectives_Same_Same_009,Adjectives_Same_Same_009
Adjectives_Senior_Senior_001,Adjectives_Senior_Senior_001
Adjectives_Senior_Senior_002,Adjectives_Senior_Senior_002
Adjectives_Senior_Senior_003,Adjectives_Senior_Senior_003
Adjectives_Senior_Senior_004,Adjectives_Senior_Senior_004
Adjectives_Senior_Senior_005,Adjectives_Senior_Senior_005
Adjectives_Senior_Senior_006,Adjectives_Senior_Senior_006
Adjectives_Small_Small_001,Adjectives_Small_Small_001
Adjectives_Small_Small_002,Adjectives_Small_Small_002
Adjectives_Small_Small_003,Adjectives_Small_Small_003
Adjectives_Small_Small_004,Adjectives_Small_Small_004
Adjectives_Small_Small_005,Adjectives_Small_Small_005
Adjectives_Small_Small_006,Adjectives_Small_Small_006
Adjectives_Small_Small_007,Adjectives_Small_Small_007
Adjectives_Small_Small_008,Adjectives_Small_Small_008
Adjectives_Soft_Soft_001,Adjectives_Soft_Soft_001
Adjectives_Soft_Soft_002,Adjectives_Soft_Soft_002
Adjectives_Soft_Soft_003,Adjectives_Soft_Soft_003
Adjectives_Soft_Soft_004,Adjectives_Soft_Soft_004
Adjectives_Soft_Soft_005,Adjectives_Soft_Soft_005
Adjectives_Soft_Soft_006,Adjectives_Soft_Soft_006
Adjectives_Soft_Soft_007,Adjectives_Soft_Soft_007
Adjectives_Soft_Soft_008,Adjectives_Soft_Soft_008
Adjectives_Strong_Strong_001,Adjectives_Strong_Strong_001
Adjectives_Strong_Strong_002,Adjectives_Strong_Strong_002
Adjectives_Strong_Strong_003,Adjectives_Strong_Strong_003
Adjectives_Strong_Strong_004,Adjectives_Strong_Strong_004
Adjectives_Strong_Strong_005,Adjectives_Strong_Strong_005
Adjectives_Strong_Strong_006,Adjectives_Strong_Strong_006
Adjectives_Strong_Strong_007,Adjectives_Strong_Strong_007
Adjectives_Strong_Strong_008,Adjectives_Strong_Strong_008
Adjectives_Thirsty_Thirsty_001,Adjectives_Thirsty_Thirsty_001
Adjectives_Tight_Tight_001,Adjectives_Tight_Tight_001
Adjectives_Tight_Tight_002,Adjectives_Tight_Tight_002
Adjectives_Tight_Tight_003,Adjectives_Tight_Tight_003
Adjectives_Tight_Tight_004,Adjectives_Tight_Tight_004
Adjectives_Tight_Tight_005,Adjectives_Tight_Tight_005
Adjectives_Tight_Tight_006,Adjectives_Tight_Tight_006
Adjectives_Tight_Tight_007,Adjectives_Tight_Tight_007
Adjectives_Tight_Tight_008,Adjectives_Tight_Tight_008
Adjectives_Ugly_Ugly_001,Adjectives_Ugly_Ugly_001
Adjectives_Welcome_Welcome_001,Adjectives_Welcome_Welcome_001
Adjectives_Welcome_Welcome_002,Adjectives_Welcome_Welcome_002
Adjectives_Welcome_Welcome_003,Adjectives_Welcome_Welcome_003
Adjectives_Welcome_Welcome_004,Adjectives_Welcome_Welcome_004
Adjectives_Welcome_Welcome_005,Adjectives_Welcome_Welcome_005
Adjectives_Wrong_Wrong_001,Adjectives_Wrong_Wrong_001
Adjectives_Wrong_Wrong_002,Adjectives_Wrong_Wrong_002
Adjectives_Wrong_Wrong_003,Adjectives_Wrong_Wrong_003
Adjectives_Wrong_Wrong_004,Adjectives_Wrong_Wrong_004
Adjectives_Wrong_Wrong_005,Adjectives_Wrong_Wrong_005
Adjectives_Wrong_Wrong_006,Adjectives_Wrong_Wrong_006
Adjectives_Wrong_Wrong_007,Adjectives_Wrong_Wrong_007
Adjectives_Wrong_Wrong_008,Adjectives_Wrong_Wrong_008
Adjectives_Wrong_Wrong_009,Adjectives_Wrong_Wrong_009
Adjectives_Wrong_Wrong_010,Adjectives_Wrong_Wrong_010
Adjectives_Wrong_Wrong_011,Adjectives_Wrong_Wrong_011
Adjectives_Wrong_Wrong_012,Adjectives_Wrong_Wrong_012
Adjectives_Wrong_Wrong_013,Adjectives_Wrong_Wrong_013
Adjectives_Wrong_Wrong_014,Adjectives_Wrong_Wrong_014
Adjectives_Wrong_Wrong_015,Adjectives_Wrong_Wrong_015
Adjectives_Wrong_Wrong_016,Adjectives_Wrong_Wrong_016
Adjectives_Wrong_Wrong_017,Adjectives_Wrong_Wrong_017
Adjectives_Wrong_Wrong_018,Adjectives_Wrong_Wrong_018
